         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.006    0.000    0.040    0.003 ir_utils.py:2316(fixup_var_define_in_scope)
      922    0.006    0.000    0.012    0.000 inspect.py:2637(__init__)
  222/198    0.006    0.000    2.353    0.012 typeinfer.py:580(resolve)
     2177    0.006    0.000    0.008    0.000 types.py:241(format_constant)
      370    0.006    0.000    0.010    0.000 ir.py:1264(find_exprs)
     1452    0.006    0.000    1.027    0.001 pystir.py:314(cSTIR_getImageData)
     1795    0.006    0.000    0.026    0.000 _collections_abc.py:828(__contains__)
     55/5    0.005    0.000    6.320    1.264 lowering.py:275(lower_block)
     2238    0.005    0.000    0.005    0.000 shape_base.py:447(<setcomp>)
     2314    0.005    0.000    0.008    0.000 os.py:759(decode)
     31/4    0.005    0.000    0.898    0.224 parfor.py:4571(remove_dead_parfor)
     1144    0.005    0.000    0.021    0.000 errors.py:470(catch_warnings)
      461    0.005    0.000    0.011    0.000 {built-in method io.open}
     1400    0.005    0.000    0.047    0.000 functions.py:230(_unlit_non_poison)
      303    0.005    0.000    0.023    0.000 instructions.py:133(_descr)
      996    0.005    0.000    0.008    0.000 extending.py:62(overload)
      812    0.005    0.000    0.005    0.000 {built-in method sirf._pystir.cSTIR_fillImage}
     2051    0.005    0.000    0.008    0.000 types.py:232(__eq__)
  725/252    0.005    0.000    0.023    0.000 ir_utils.py:1174(_dfs_rec)
      292    0.005    0.000    0.016    0.000 ir_utils.py:1588(find_callname)
  663/277    0.005    0.000   11.620    0.042 compiler_lock.py:32(_acquire_compile_lock)
     2750    0.005    0.000    0.006    0.000 utils.py:467(__setitem__)
      398    0.005    0.000    0.022    0.000 interpreter.py:1797(store)
      530    0.005    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2238    0.005    0.000    0.005    0.000 shape_base.py:455(<listcomp>)
     1792    0.005    0.000    0.007    0.000 value.py:117(__init__)
     1404    0.005    0.000    0.005    0.000 {method 'to' of 'torch._C.TensorBase' objects}
      480    0.005    0.000    0.013    0.000 instructions.py:711(descr)
     4180    0.005    0.000    0.005    0.000 {method 'index' of 'tuple' objects}
   176/65    0.005    0.000    0.173    0.003 parfor.py:613(list_vars)
     1475    0.005    0.000    0.005    0.000 {built-in method _abc._abc_init}
     1098    0.005    0.000    0.100    0.000 module.py:251(_next)
  382/154    0.005    0.000    0.535    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
     1424    0.005    0.000    0.012    0.000 _internal.py:267(data_as)
